sentence_id	sentence	sentence_domain	source
026873ce424331c0a22a5afed103490bbcb69608051a2207b0719fc06c44017e	여름내내 수업이 있었요.		Self Citation
08904ee91ab0c454cdc6e670400452ae70773f7d84eeef30af0d1b1ebb0ef6da	앨리샤, 안 돼.		Self Citation
0a5f714874f0cc8a5a682f69d29540782dd64eedaa45d62d8045cf2c32bef55a	죄송해요 제 잘못이에요.		Self Citation
17e575b46ba4128a740c84f8dbb03780636d9053619a364284e7a957e6d4e215	동기라고는 너하나밖에 없는걸 나두 어렵지만 어떡허느냐.		심훈 _조그만 생명_ [저작권 만료]
2dc44ee28edb94d47e8a9d891cb6bac8a985f880e486223914ca24135c5b1ba1	글세 무슨 일야? 집으룬 못오니?		심훈 _조그만 생명_ [저작권 만료]
33155cd9477346dcfdb04f5bc42933a5bc48937a594096dc0b86ed698a6a89b0	아버지가 방에 들어간다		123
3a4a36baa51b26fef93e99d30e45872bf4b23ad38d8e9a1dc36800afb0b51427	여기 콜라 한 잔과 커피 세 잔을 주세요.	service_retail	Self Citation
3b0fbe6cd266f4aa78f4d71b9817ac1c95f10392ba304c0bca29b06f0f6d8372	자네 잠깐 이리로 와보겠나?		Self Citation
3bb2be0b6725c367e9d3042d007345d4201d2cd1650db4c94a6de0f0234cf87a	이 자식이 눈치도 없게 낄끼빠빠 모르냐?		self
3c1ebcc0dd290065502630f7a3048a2673e45947e40c11a7fccffc77a798775f	여보세용?		Self Citation
3d7d83d238bc5fe4c2d6672d22b2852e728829b81d6d897df6946ca695a09f49	재밌겠다!		Self Citation
3d9774ba8bbf4cc36c292ca7938fcd0c02730043923f29a83c5060b94519a553	올라가!		Self Citation
3d9bab240712b244690181c5d2ad24b234680f74efa7dbfa4f73998e811b1d60	얘들아!		Self Citation
3da7c8df310fd8db18f170e17f06a0e7010e816c976cd548406fa4d15b1a8e8a	나도 알아.		Self Citation
3dc7ded4807a8d60c1dfadc5884e9b3e4413fc52dc8245bf93b51d8e043b731a	참치김치 볶음밥을 먹자 내가 참치김치 볶음밥이 되어버렸어! 완전 럭키비키자나?	agriculture_food	무언가의 비정상이 필요할 때 써주세요.
3df103e731a9ed679e6b959cf6f91074581897b7c8e845c0c2279133956d6d62	정신 나갔어?		Self Citation
3e0ddc538dfbdc5bd67d4fb9f013430e6fcaee14eca45cf5977f29627a77150f	교주님은 여러분의 집으로 하는 캠프파이어가 제일 좋아요!		self
3e1972391217eb49e0eb80818c0e4e32348614eb5c4f104a6d99c5bb4fcd06ac	오, 젠장!		Self Citation
3e32befdd77ae79c33bee1d4fed7c5519411fe360f0166efea8334d42265d8a4	계속 하세요.		Self Citation
3e3e59c8f5699abc39726e8bee95ceacfcf87ef30cdd251bd701b098bb55d3ab	커피 드시겠어요?		Self Citation
3e4c49f7eef27bf9ddf902166c478858771996b722f3c5c634d6e610361a2a0f	당연히 아니지.		Self Citation
3e808d8dc55a185125477b5625fc0399f47c71c675f62150d02cf9834dc641a8	아직은 안 돼.		Self Citation
3ead61cc409eb42460071f0e05bd64c4b732c1d702fb74cb39a9989bf551ff53	걱정하지 마.		Self Citation
3ec1deee5fe724ce166a683601db30e543132cf48af1b61c56b16393a5ba58a5	제발 하지 마.		Self Citation
3ec4ab8749ac43d82a51beb36204613a04abf45a0e406753f8ad496d8ea9f2c6	차에서 내려!		Self Citation
3ed8e0861457eeb16d95660411fecf8dbd0e279d9758e240c733e80ff096407b	엄마 보고 싶어요.		Self Citation
3eed6de1dd11b04b0c1fecb5b7eebc83b237b38f55b0cd8d62408ffe0e556804	잘 가요.		Self Citation
3eee28a49e187bc01dfe1d672d075e322354ac1d817e2b2d1ee55f251b221571	참아.		Self Citation
3f02add18fc2861eff15b4027b0bc27215b4a7427693e162a19f95ac80d0d38c	성함이 어떻게 되십니까?		Self Citation
3f12a51f127879d3e0026f0cd9fe556b01a5255bb0561f21b5fe7af7248a766e	보세요.		Self Citation
3f1a5993bc111dc8a6325631f04a1fa9aef11391064d8af3c0479138c3595e15	다녀오세요!		Self Citation
3f2b228d4f571fe3de8f0d033e49c8666978b0a34b4d28c2f6b6357368f4817f	하루 종일 계속 말했잖아요.		Self Citation
3f3a4890b14ffdd519a9cd26d9119f7c437778ccd8274f33f3cec4f5a11cfab8	걱정 마요.		Self Citation
3f3cf025194cad33370f96e63da8367422545b1869ff25f2797bb7ee7bebfad1	가요?		Self Citation
3f3f7a8b0d188b0c06355082952803261f5232fbad3f751cbc7db4bad65039a6	장난해요?		Self Citation
3f51e0d0b1cdc6fed251d5b74f7a362003d1eff7792c657ce653e5c577debc1b	버카충 한지 좀 오래 돼서.		self
3f566f1cbfc1a8a2bbdb4609b9319f86baa3e066f05afe649a597781c132f3a0	조심해요.		Self Citation
3f58a2084072843acf2cfd2395547b9c7654fade4545d57983eafa9d5dd34c06	우리가 맡을게.		Self Citation
3f5e5fa938bad6bb288aff592ad61d82825b5cc498c4774cd7b0205e83ad5d8e	미안해요.		Self Citation
3f62cc1572478f82acb6d4bbb3b5c832123ad7e2587e0b9db69401649bb7b91d	그렇다니까.		Self Citation
3fa1cf2e6e3a166d87255da0df4e9bc9d881bd23dada62529452f4275e9a6657	듣고 있어?		Self Citation
3fb0f48e04ce477fa2cd1fba5e4bd6decf7eb10e44302da55423067781d5f731	정말 끔찍했어요.		Self Citation
3fbd44a7301eb92323c9162ae5d46fc85403a75bab47f6134a9f270215c8c269	고맙다 임마.		self
3fd16d80c57bc8e729e1c4608c3d03e6073fb5c35891985e76cea4f0fa76f6fc	기회가 조금이라도 있다면 난 서울을 떠나지 않을 거야.		Self Citation
3fd2c309f3f322ae34e011b604d9273a72e6a422d0ced45655bc89c9555cb372	왜 여성은 바로 감정적이 되는 건가?		Self Citation
3fdb3ae1a3911b28d8860c65fcfaf6bd5e3434f62c9c8c5587e1946a004f1199	비켜요!		Self Citation
40110e26384cdbe885ed0b53254de90aa03ea2d96ef1fb249623e221953e97a9	나한테서 떨어져!		Self Citation
4042524e12a3acdf79634d2f24c4e9e20259ba15a6a076ddf3809d9de79e7fc0	문 열어.		Self Citation
4050de13257dce14ef1d6e3a8dcbe46ef14c7b0197f05feb095116a56bdf0e64	고마워.		Self Citation
4053ae20ba232ba9cad173479c3dc2397307d1387b9fef08ce5b0a27bd274579	세상에서 가장 키가 큰 사나이다.		Self Citation
408e9bd0e6fa793cdd3bf4f451be2c4cd30ac5bba65c4589cc3a61b797787b49	정말 사랑해!		Self Citation
40992318bb33176edd1224866ff5146e1839031b0bf6ed9a820090df923052a9	무슨 생각해?		Self Citation
40ca53e1195a90ec10b30ff0cba3f458bdb94a9deb71818b70a3d06348d8377e	헛소리!		Self Citation
40d910d4762a2ada7b08ec4d1dfb93644602cea9d208919e61d449b0115e8b4f	뭐라고?		Self Citation
40e98c577d4b49d59ff7453483455d0d52d939aea2dd106c3304179ebfff4ffe	보고 싶어요.		Self Citation
4128e9c375cf6e759b88f33db1070dea934b8000b102deb2757a21509da1b119	저희는 좀 쉬고 싶거든요.		Self Citation
4162eb2a5fae9201ba1db9d5ac8393d08a3829a0035f6310749ccf8ead39d6e3	가야 돼.		Self Citation
